"","Stdev","Trial#"
"314",10,5414
"315",10,5415
"316",10,5454
"317",10,5484
"318",10,5498
"319",10,5518
"320",10,5522
"321",10,5538
"322",10,5549
"323",10,5554
"324",10,5585
"325",10,5619
"326",10,5648
"327",10,5678
"328",10,5681
"329",10,5703
"330",10,5722
"331",10,5748
"332",10,5752
"333",10,5804
"334",10,5908
"335",10,5914
"336",10,5927
"337",10,5931
"338",10,5983
"339",10,5987
"340",10,5998
"341",10,6009
"342",10,6018
"343",10,6046
"344",10,6073
"345",10,6134
"346",10,6143
"347",10,6153
"348",10,6177
"349",10,6193
"350",10,6201
"351",10,6213
"352",10,6241
"353",10,6243
"354",10,6260
"355",10,6436
"356",10,6438
"357",10,6442
"358",10,6475
"359",10,6539
"360",10,6546
"361",10,6565
"362",10,6582
"363",10,6634
"364",10,6653
"365",10,6679
"366",10,6704
"367",10,6761
"368",10,6782
"369",10,6786
"370",10,6806
"371",10,6833
"372",10,6837
"373",10,6858
"374",10,6869
"375",10,6893
"376",10,6894
"377",10,6939
"378",10,6945
"379",10,6983
"380",10,6992
"381",10,6994
"382",10,7038
"383",10,7076
"384",10,7090
"385",10,7147
"386",10,7166
"387",10,7207
"388",10,7326
"389",10,7365
"390",10,7368
"391",10,7388
"392",10,7482
"393",10,7524
"394",10,7535
"395",10,7558
"396",10,7569
"397",10,7632
"398",10,7641
"399",10,7659
"400",10,7684
"401",10,7704
"402",10,7717
"403",10,7730
"404",10,7732
"405",10,7770
"406",10,7823
"407",10,7841
"408",10,7900
"409",10,7909
"410",10,7947
"411",10,7962
"412",10,7966
"413",10,7969
"414",10,7971
"415",10,7972
"416",10,7981
"417",10,7984
"418",10,7994
"419",10,8016
"420",10,8109
"421",10,8123
"422",10,8141
"423",10,8154
"424",10,8161
"425",10,8194
"426",10,8217
"427",10,8281
"428",10,8316
"429",10,8343
"430",10,8372
"431",10,8407
"432",10,8434
"433",10,8440
"434",10,8495
"435",10,8497
"436",10,8590
"437",10,8608
"438",10,8619
"439",10,8647
"440",10,8648
"441",10,8707
"442",10,8740
"443",10,8780
"444",10,8859
"445",10,8863
"446",10,8904
"447",10,8936
"448",10,8960
"449",10,8961
"450",10,8977
"451",10,9002
"452",10,9006
"453",10,9037
"454",10,9051
"455",10,9076
"456",10,9105
"457",10,9209
"458",10,9222
"459",10,9268
"460",10,9347
"461",10,9411
"462",10,9489
"463",10,9518
"464",10,9565
"465",10,9590
"466",10,9600
"467",10,9609
"468",10,9634
"469",10,9674
"470",10,9678
"471",10,9739
"472",10,9742
"473",10,9743
"474",10,9751
"475",10,9755
"476",10,9780
"477",10,9788
"478",10,9847
"479",10,9848
"480",10,9877
"481",10,9898
"482",10,9902
"483",10,9937
"484",10,9945
"485",10,9962
"486",10,9986
