"Trial#","S1","S2","S3","Cum Prob"
4369,0,1,0,0.997711146715496
4370,0,1,0,0.997711670480549
4371,0,1,0,0.997712194005948
4372,0,1,0,0.997712717291857
4373,0,1,0,0.99771324033844
4374,0,1,0,0.997713763145862
4375,0,1,0,0.997714285714286
4376,0,1,0,0.997714808043876
4377,0,1,0,0.997715330134796
4378,0,1,0,0.997715851987209
4379,0,1,0,0.997716373601279
4380,0,1,0,0.997716894977169
4381,0,1,0,0.997717416115042
4382,0,1,0,0.997717937015062
4383,0,1,0,0.99771845767739
4384,0,1,0,0.99771897810219
4385,0,1,0,0.997719498289624
4386,0,1,0,0.997720018239854
4387,0,1,0,0.997720537953043
4388,0,0,1,0.997721057429353
4389,0,1,0,0.997721576668945
4390,0,1,0,0.997722095671982
4391,0,1,0,0.997722614438624
4392,0,0,1,0.997723132969035
4393,0,1,0,0.997723651263374
4394,0,1,0,0.997724169321802
4395,0,1,0,0.997724687144482
4396,0,1,0,0.997725204731574
4397,1,0,0,0.997725722083239
4398,0,1,0,0.997726239199636
4399,0,1,0,0.997726756080928
4400,0,1,0,0.997727272727273
4401,0,1,0,0.997727789138832
4402,0,1,0,0.997728305315766
4403,0,1,0,0.997728821258233
4404,0,1,0,0.997729336966394
4405,0,1,0,0.997729852440409
4406,0,1,0,0.997730367680436
4407,0,1,0,0.997730882686635
4408,0,1,0,0.997731397459165
4409,0,0,1,0.997731911998186
4410,0,1,0,0.997732426303855
4411,0,1,0,0.997732940376332
4412,0,1,0,0.997733454215775
4413,0,1,0,0.997733967822343
4414,0,1,0,0.997734481196194
